"filename", "language", "C", "comment", "blank", "total"
"/home/ehosta/Documents/push_swap/src/instructions/px.c", "C", 9, 11, 4, 24
"/home/ehosta/Documents/push_swap/src/instructions/rrx.c", "C", 13, 11, 5, 29
"/home/ehosta/Documents/push_swap/src/instructions/rx.c", "C", 13, 11, 5, 29
"/home/ehosta/Documents/push_swap/src/instructions/sx.c", "C", 13, 11, 5, 29
"/home/ehosta/Documents/push_swap/src/io/display_env.c", "C", 56, 11, 6, 73
"/home/ehosta/Documents/push_swap/src/io/display_error.c", "C", 5, 11, 3, 19
"/home/ehosta/Documents/push_swap/src/main.c", "C", 60, 11, 8, 79
"/home/ehosta/Documents/push_swap/src/moves/extract_from_stack.c", "C", 18, 11, 4, 33
"/home/ehosta/Documents/push_swap/src/moves/push.c", "C", 28, 11, 8, 47
"/home/ehosta/Documents/push_swap/src/moves/push_to_stack.c", "C", 13, 11, 4, 28
"/home/ehosta/Documents/push_swap/src/moves/reverse_rotate.c", "C", 28, 11, 4, 43
"/home/ehosta/Documents/push_swap/src/moves/rotate.c", "C", 28, 11, 4, 43
"/home/ehosta/Documents/push_swap/src/moves/swap.c", "C", 40, 11, 7, 58
"/home/ehosta/Documents/push_swap/src/sorting/algo/stack_sorting.c", "C", 19, 11, 5, 35
"/home/ehosta/Documents/push_swap/src/sorting/selection_sort.c", "C", 19, 11, 4, 34
"/home/ehosta/Documents/push_swap/src/stack/stack_manager.c", "C", 33, 11, 8, 52
"/home/ehosta/Documents/push_swap/src/wall/check_argv.c", "C", 92, 11, 11, 114
"Total", "-", 487, 187, 95, 769
