Date : 2025-02-04 16:50:58
Directory : /home/ehosta/Documents/push_swap
Total : 80 files,  2075 codes, 959 comments, 432 blanks, all 3466 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C        |         67 |      1,779 |        742 |        349 |      2,870 |
| Makefile |          3 |        188 |         33 |         28 |        249 |
| C++      |          9 |        104 |        184 |         53 |        341 |
| Markdown |          1 |          4 |          0 |          2 |          6 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                     | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                        |         80 |      2,075 |        959 |        432 |      3,466 |
| . (Files)                                                                |          1 |         51 |         11 |         14 |         76 |
| include                                                                  |          1 |         84 |         14 |         25 |        123 |
| libft                                                                    |         62 |      1,206 |        756 |        283 |      2,245 |
| libft (Files)                                                            |          3 |        141 |         22 |         16 |        179 |
| libft/include                                                            |         10 |        124 |        195 |         58 |        377 |
| libft/src                                                                |         49 |        941 |        539 |        209 |      1,689 |
| libft/src/fd                                                             |          6 |         69 |         66 |         21 |        156 |
| libft/src/get_next_line                                                  |          1 |         87 |         11 |         11 |        109 |
| libft/src/is                                                             |          5 |         25 |         55 |         15 |         95 |
| libft/src/lst                                                            |          9 |        113 |         99 |         31 |        243 |
| libft/src/math                                                           |          2 |         10 |         22 |          6 |         38 |
| libft/src/mem                                                            |          7 |        102 |         77 |         28 |        207 |
| libft/src/printf                                                         |          1 |         90 |         11 |         12 |        113 |
| libft/src/str                                                            |         14 |        342 |        154 |         66 |        562 |
| libft/src/to                                                             |          4 |        103 |         44 |         19 |        166 |
| src                                                                      |         16 |        734 |        178 |        110 |      1,022 |
| src (Files)                                                              |          2 |        196 |         24 |         23 |        243 |
| src/env                                                                  |          3 |        164 |         33 |         25 |        222 |
| src/moves                                                                |          4 |        101 |         44 |         20 |        165 |
| src/sorting                                                              |          6 |        181 |         66 |         31 |        278 |
| src/wall                                                                 |          1 |         92 |         11 |         11 |        114 |
+--------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                 | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /home/ehosta/Documents/push_swap/Makefile                                | Makefile |         51 |         11 |         14 |         76 |
| /home/ehosta/Documents/push_swap/include/push_swap.h                     | C        |         84 |         14 |         25 |        123 |
| /home/ehosta/Documents/push_swap/libft/Makefile                          | Makefile |         37 |         11 |         10 |         58 |
| /home/ehosta/Documents/push_swap/libft/README.md                         | Markdown |          4 |          0 |          2 |          6 |
| /home/ehosta/Documents/push_swap/libft/include/ft_fd.h                   | C++      |         11 |         61 |         10 |         82 |
| /home/ehosta/Documents/push_swap/libft/include/ft_is.h                   | C++      |          8 |         38 |          8 |         54 |
| /home/ehosta/Documents/push_swap/libft/include/ft_lst.h                  | C++      |         18 |         11 |          6 |         35 |
| /home/ehosta/Documents/push_swap/libft/include/ft_math.h                 | C++      |          5 |         11 |          3 |         19 |
| /home/ehosta/Documents/push_swap/libft/include/ft_mem.h                  | C++      |         11 |         11 |          5 |         27 |
| /home/ehosta/Documents/push_swap/libft/include/ft_printf.h               | C++      |          9 |         11 |          6 |         26 |
| /home/ehosta/Documents/push_swap/libft/include/ft_str.h                  | C++      |         19 |         11 |          5 |         35 |
